Date,Time,Source IP,Destination IP,Source Port,Destination Port,Protocol,Action,Duration,Sent Bytes,Received Bytes,Sent Packets,Received Packets,Application,Application Category,Policy Name,Shaping Policy Name,Class
2023-11-07,1900-01-01 19:04:54,6,58,53315,443,0,1,6,545,7858,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:04:54,6,71,53316,443,0,2,4,522,7503,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:04:55,7,77,56278,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:05:03,4,294,2770,5938,0,2,4,21135,21874,45,50,38,6,0,0,1
2023-11-07,1900-01-01 19:05:05,4,141,2766,443,0,2,81,407,1270,8,7,15,3,0,0,1
2023-11-07,1900-01-01 19:05:10,7,132,56167,443,0,2,422,3447,4483,30,35,13,3,0,0,0
2023-11-07,1900-01-01 19:05:10,7,77,56243,443,0,2,242,2147,3070,19,23,13,3,0,0,0
2023-11-07,1900-01-01 19:05:11,9,233,12626,443,0,2,104,1318,2315,10,8,25,1,0,0,1
2023-11-07,1900-01-01 19:05:13,9,141,12507,443,0,2,242,6265,3770,22,26,15,3,0,0,1
2023-11-07,1900-01-01 19:05:19,9,246,4565,443,0,2,8906,28701,37368,312,169,40,3,0,0,1
2023-11-07,1900-01-01 19:05:24,7,80,56247,443,0,2,242,25129,4254,42,37,15,3,0,0,1
2023-11-07,1900-01-01 19:05:28,4,290,2775,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:29,4,290,2776,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:30,4,290,2777,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:31,4,290,2778,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:32,9,128,12643,443,0,2,104,448,1338,9,8,7,3,0,0,1
2023-11-07,1900-01-01 19:05:32,4,290,2779,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:32,4,290,2780,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:33,4,290,2781,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:34,4,290,2782,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:35,4,290,2783,443,0,3,22,1532,780,9,12,18,10,0,0,1
2023-11-07,1900-01-01 19:05:36,4,290,2784,443,0,3,22,1532,860,9,14,18,10,0,0,1
2023-11-07,1900-01-01 19:05:46,7,132,56271,443,0,2,144,489,1797,10,10,43,9,0,0,1
2023-11-07,1900-01-01 19:05:46,4,13,2773,443,0,1,42,505,1834,10,7,18,10,0,0,1
2023-11-07,1900-01-01 19:05:47,4,375,2785,80,0,2,30,420,1819,9,4,2,5,0,0,0
2023-11-07,1900-01-01 19:05:49,9,73,12690,443,0,2,67,407,1262,8,7,15,3,0,0,1
2023-11-07,1900-01-01 19:05:52,7,80,56248,443,0,1,270,691,1787,15,15,15,3,0,0,1
2023-11-07,1900-01-01 19:05:57,6,112,53317,80,0,1,7,212,8576,5,9,16,10,0,0,0
2023-11-07,1900-01-01 19:06:00,10,353,61497,443,0,3,6,416,1213,7,11,18,10,0,0,1
2023-11-07,1900-01-01 19:06:04,4,350,54637,3478,1,0,718,26721994,1310794,41901,14396,10,1,0,0,1
2023-11-07,1900-01-01 19:06:07,7,67,56286,443,0,1,6,537,7611,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:06:10,9,104,12559,443,0,2,242,5675,4385,22,24,6,3,0,0,1
2023-11-07,1900-01-01 19:06:13,9,192,46718,6969,1,0,75,44,0,1,0,2,5,0,0,0
2023-11-07,1900-01-01 19:06:15,4,13,2787,443,0,1,27,505,1794,10,6,18,10,0,0,1
2023-11-07,1900-01-01 19:06:15,7,113,56289,80,0,1,6,372,772,5,7,39,1,0,0,1
2023-11-07,1900-01-01 19:06:19,4,6,2602,443,0,2,579,1270553,149830115,20409,100328,37,6,0,0,1
2023-11-07,1900-01-01 19:06:22,6,107,53327,443,0,1,6,585,7858,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:06:26,6,247,53323,443,0,1,18,412,1773,10,4,18,10,0,0,1
2023-11-07,1900-01-01 19:06:27,7,113,56288,443,0,2,17,3355,136155,64,113,39,1,0,0,1
2023-11-07,1900-01-01 19:06:29,6,107,53328,443,0,1,6,585,7857,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:06:33,9,109,12733,443,0,2,63,407,1258,8,7,43,9,0,0,1
2023-11-07,1900-01-01 19:06:34,9,50,12799,443,0,2,2,339,4278,8,6,31,4,0,0,0
2023-11-07,1900-01-01 19:06:34,9,50,12797,443,0,2,2,339,4273,8,6,31,4,0,0,0
2023-11-07,1900-01-01 19:06:35,9,50,12800,443,0,2,2,419,4313,10,7,31,4,0,0,0
2023-11-07,1900-01-01 19:06:35,4,4,61697,443,1,0,181,4013,8507,5,11,29,4,0,0,0
2023-11-07,1900-01-01 19:06:35,9,50,12804,443,0,2,2,379,4274,9,6,31,4,0,0,0
2023-11-07,1900-01-01 19:06:35,9,50,12796,443,0,3,4,739,4474,18,11,31,4,0,0,0
2023-11-07,1900-01-01 19:06:35,9,50,12803,443,0,2,2,339,4279,8,6,31,4,0,0,0
2023-11-07,1900-01-01 19:06:36,9,119,12682,443,0,2,121,641,1340,10,7,21,1,0,0,1
2023-11-07,1900-01-01 19:06:39,9,50,12802,443,0,1,6,379,4234,9,5,31,4,0,0,0
2023-11-07,1900-01-01 19:06:40,9,35,12807,443,0,2,2,2684,2315,14,10,25,1,0,0,1
2023-11-07,1900-01-01 19:06:42,4,13,2789,443,0,2,32,345,1763,6,6,18,10,0,0,1
2023-11-07,1900-01-01 19:06:45,6,107,53331,443,0,1,6,545,7547,11,12,13,3,0,0,0
2023-11-07,1900-01-01 19:06:46,9,181,12752,80,0,2,61,212,456,5,4,30,8,0,0,1
2023-11-07,1900-01-01 19:06:46,9,181,12751,80,0,2,61,212,1369,5,4,30,8,0,0,1
2023-11-07,1900-01-01 19:06:46,9,205,12749,80,0,2,62,212,1178,5,4,16,10,0,0,1
2023-11-07,1900-01-01 19:06:46,9,369,12746,80,0,2,63,212,379,5,4,16,10,0,0,1
2023-11-07,1900-01-01 19:06:46,9,149,12747,80,0,2,62,212,394,5,4,16,10,0,0,1
2023-11-07,1900-01-01 19:06:46,6,107,53332,443,0,1,6,585,7859,12,18,13,3,0,0,0
2023-11-07,1900-01-01 19:06:46,9,181,12743,80,0,2,63,212,1140,5,4,30,8,0,0,1
2023-11-07,1900-01-01 19:06:46,9,205,12750,80,0,2,62,212,801,5,5,16,10,0,0,1
2023-11-07,1900-01-01 19:06:46,7,329,56291,443,0,1,7,1700,2436,13,10,27,8,0,0,1
2023-11-07,1900-01-01 19:06:47,4,13,2788,443,0,1,37,412,1560,10,7,18,10,0,0,1
2023-11-07,1900-01-01 19:06:50,6,107,53334,443,0,1,6,545,7858,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:06:55,6,105,53307,443,0,2,189,530,1426,11,10,15,3,0,0,1
2023-11-07,1900-01-01 19:06:55,6,107,53335,443,0,1,6,545,7857,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:06:55,6,280,53329,443,0,1,30,1647,1230,10,5,18,10,0,0,1
2023-11-07,1900-01-01 19:07:02,6,247,53320,80,0,2,54,504,1543,12,9,17,10,0,0,1
2023-11-07,1900-01-01 19:07:04,7,67,56292,443,0,1,6,537,7609,11,14,13,3,0,0,0
2023-11-07,1900-01-01 19:07:07,4,156,2727,443,0,2,403,2982,5102,19,22,18,10,0,0,1
2023-11-07,1900-01-01 19:07:10,7,132,56254,443,0,2,302,3829,4860,25,31,3,6,0,0,1
2023-11-07,1900-01-01 19:07:17,6,49,53339,443,0,2,2,379,4262,9,6,31,4,0,0,0
2023-11-07,1900-01-01 19:07:17,6,49,53338,443,0,2,2,339,4306,8,7,31,4,0,0,0
2023-11-07,1900-01-01 19:07:17,6,49,53340,443,0,2,2,379,4262,9,6,31,4,0,0,0
2023-11-07,1900-01-01 19:07:21,6,49,53341,443,0,1,6,419,4222,10,5,31,4,0,0,0
2023-11-07,1900-01-01 19:07:23,7,67,56294,443,0,1,6,537,7842,11,18,13,3,0,0,0
2023-11-07,1900-01-01 19:07:24,7,132,56270,443,0,2,242,3067,4608,20,26,43,9,0,0,1
